Hour,Mini_Hydro_Generation_MW
7408,323.4343925
7409,323.4343925
7410,323.4343925
7411,323.4343925
7412,323.4343925
7413,323.4343925
7414,323.4343925
7415,323.4343925
7416,323.4343925
7417,323.4343925
7418,323.4343925
7419,323.4343925
7420,323.4343925
7421,323.4343925
7422,323.4343925
7423,323.4343925
7424,323.4343925
7425,323.4343925
7426,323.4343925
7427,323.4343925
7428,323.4343925
7429,323.4343925
7430,323.4343925
7431,323.4343925
7432,323.4343925
7433,323.4343925
7434,323.4343925
7435,323.4343925
7436,323.4343925
7437,323.4343925
7438,323.4343925
7439,323.4343925
7440,323.4343925
7441,323.4343925
7442,323.4343925
7443,323.4343925
7444,323.4343925
7445,323.4343925
7446,323.4343925
7447,323.4343925
7448,323.4343925
7449,323.4343925
7450,323.4343925
7451,323.4343925
7452,323.4343925
7453,323.4343925
7454,323.4343925
7455,323.4343925
7456,323.4343925
7457,323.4343925
7458,323.4343925
7459,323.4343925
7460,323.4343925
7461,323.4343925
7462,323.4343925
7463,323.4343925
7464,323.4343925
7465,323.4343925
7466,323.4343925
7467,323.4343925
7468,323.4343925
7469,323.4343925
7470,323.4343925
7471,323.4343925
7472,323.4343925
7473,323.4343925
7474,323.4343925
7475,323.4343925
7476,323.4343925
7477,323.4343925
7478,323.4343925
7479,323.4343925
7480,323.4343925
7481,323.4343925
7482,323.4343925
7483,323.4343925
7484,323.4343925
7485,323.4343925
7486,323.4343925
7487,323.4343925
7488,323.4343925
7489,323.4343925
7490,323.4343925
7491,323.4343925
7492,323.4343925
7493,323.4343925
7494,323.4343925
7495,323.4343925
7496,323.4343925
7497,323.4343925
7498,323.4343925
7499,323.4343925
7500,323.4343925
7501,323.4343925
7502,323.4343925
7503,323.4343925
7504,323.4343925
7505,323.4343925
7506,323.4343925
7507,323.4343925
7508,323.4343925
7509,323.4343925
7510,323.4343925
7511,323.4343925
7512,323.4343925
7513,323.4343925
7514,323.4343925
7515,323.4343925
7516,323.4343925
7517,323.4343925
7518,323.4343925
7519,323.4343925
7520,323.4343925
7521,323.4343925
7522,323.4343925
7523,323.4343925
7524,323.4343925
7525,323.4343925
7526,323.4343925
7527,323.4343925
7528,323.4343925
7529,323.4343925
7530,323.4343925
7531,323.4343925
7532,323.4343925
7533,323.4343925
7534,323.4343925
7535,323.4343925
7536,323.4343925
7537,323.4343925
7538,323.4343925
7539,323.4343925
7540,323.4343925
7541,323.4343925
7542,323.4343925
7543,323.4343925
7544,323.4343925
7545,323.4343925
7546,323.4343925
7547,323.4343925
7548,323.4343925
7549,323.4343925
7550,323.4343925
7551,323.4343925
7552,323.4343925
7553,323.4343925
7554,323.4343925
7555,323.4343925
7556,323.4343925
7557,323.4343925
7558,323.4343925
7559,323.4343925
7560,323.4343925
7561,323.4343925
7562,323.4343925
7563,323.4343925
7564,323.4343925
7565,323.4343925
7566,323.4343925
7567,323.4343925
7568,323.4343925
7569,323.4343925
7570,323.4343925
7571,323.4343925
7572,323.4343925
7573,323.4343925
7574,323.4343925
7575,323.4343925
7576,323.4343925
7577,323.4343925
7578,323.4343925
7579,323.4343925
7580,323.4343925
7581,323.4343925
7582,323.4343925
7583,323.4343925
7584,323.4343925
7585,323.4343925
7586,323.4343925
7587,323.4343925
7588,323.4343925
7589,323.4343925
7590,323.4343925
7591,323.4343925
7592,323.4343925
7593,323.4343925
7594,323.4343925
7595,323.4343925
7596,323.4343925
7597,323.4343925
7598,323.4343925
7599,323.4343925
7600,323.4343925
7601,323.4343925
7602,323.4343925
7603,323.4343925
7604,323.4343925
7605,323.4343925
7606,323.4343925
7607,323.4343925
7608,323.4343925
7609,323.4343925
7610,323.4343925
7611,323.4343925
7612,323.4343925
7613,323.4343925
7614,323.4343925
7615,323.4343925
7616,323.4343925
7617,323.4343925
7618,323.4343925
7619,323.4343925
7620,323.4343925
7621,323.4343925
7622,323.4343925
7623,323.4343925
7624,323.4343925
7625,323.4343925
7626,323.4343925
7627,323.4343925
7628,323.4343925
7629,323.4343925
7630,323.4343925
7631,323.4343925
7632,323.4343925
7633,323.4343925
7634,323.4343925
7635,323.4343925
7636,323.4343925
7637,323.4343925
7638,323.4343925
7639,323.4343925
7640,323.4343925
7641,323.4343925
7642,323.4343925
7643,323.4343925
7644,323.4343925
7645,323.4343925
7646,323.4343925
7647,323.4343925
7648,323.4343925
7649,323.4343925
7650,323.4343925
7651,323.4343925
7652,323.4343925
7653,323.4343925
7654,323.4343925
7655,323.4343925
7656,323.4343925
7657,323.4343925
7658,323.4343925
7659,323.4343925
7660,323.4343925
7661,323.4343925
7662,323.4343925
7663,323.4343925
7664,323.4343925
7665,323.4343925
7666,323.4343925
7667,323.4343925
7668,323.4343925
7669,323.4343925
7670,323.4343925
7671,323.4343925
7672,323.4343925
7673,323.4343925
7674,323.4343925
7675,323.4343925
7676,323.4343925
7677,323.4343925
7678,323.4343925
7679,323.4343925
7680,323.4343925
7681,323.4343925
7682,323.4343925
7683,323.4343925
7684,323.4343925
7685,323.4343925
7686,323.4343925
7687,323.4343925
7688,323.4343925
7689,323.4343925
7690,323.4343925
7691,323.4343925
7692,323.4343925
7693,323.4343925
7694,323.4343925
7695,323.4343925
7696,323.4343925
7697,323.4343925
7698,323.4343925
7699,323.4343925
7700,323.4343925
7701,323.4343925
7702,323.4343925
7703,323.4343925
7704,323.4343925
7705,323.4343925
7706,323.4343925
7707,323.4343925
7708,323.4343925
7709,323.4343925
7710,323.4343925
7711,323.4343925
7712,323.4343925
7713,323.4343925
7714,323.4343925
7715,323.4343925
7716,323.4343925
7717,323.4343925
7718,323.4343925
7719,323.4343925
7720,323.4343925
7721,323.4343925
7722,323.4343925
7723,323.4343925
7724,323.4343925
7725,323.4343925
7726,323.4343925
7727,323.4343925
7728,323.4343925
7729,323.4343925
7730,323.4343925
7731,323.4343925
7732,323.4343925
7733,323.4343925
7734,323.4343925
7735,323.4343925
7736,323.4343925
7737,323.4343925
7738,323.4343925
7739,323.4343925
7740,323.4343925
7741,323.4343925
7742,323.4343925
7743,323.4343925
7744,323.4343925
7745,323.4343925
7746,323.4343925
7747,323.4343925
7748,323.4343925
7749,323.4343925
7750,323.4343925
7751,323.4343925
7752,323.4343925
7753,323.4343925
7754,323.4343925
7755,323.4343925
7756,323.4343925
7757,323.4343925
7758,323.4343925
7759,323.4343925
7760,323.4343925
7761,323.4343925
7762,323.4343925
7763,323.4343925
7764,323.4343925
7765,323.4343925
7766,323.4343925
7767,323.4343925
7768,323.4343925
7769,323.4343925
7770,323.4343925
7771,323.4343925
7772,323.4343925
7773,323.4343925
7774,323.4343925
7775,323.4343925
7776,323.4343925
7777,323.4343925
7778,323.4343925
7779,323.4343925
7780,323.4343925
7781,323.4343925
7782,323.4343925
7783,323.4343925
7784,323.4343925
7785,323.4343925
7786,323.4343925
7787,323.4343925
7788,323.4343925
7789,323.4343925
7790,323.4343925
7791,323.4343925
7792,323.4343925
7793,323.4343925
7794,323.4343925
7795,323.4343925
7796,323.4343925
7797,323.4343925
7798,323.4343925
7799,323.4343925
7800,323.4343925
7801,323.4343925
7802,323.4343925
7803,323.4343925
7804,323.4343925
7805,323.4343925
7806,323.4343925
7807,323.4343925
7808,323.4343925
7809,323.4343925
7810,323.4343925
7811,323.4343925
7812,323.4343925
7813,323.4343925
7814,323.4343925
7815,323.4343925
7816,323.4343925
7817,323.4343925
7818,323.4343925
7819,323.4343925
7820,323.4343925
7821,323.4343925
7822,323.4343925
7823,323.4343925
7824,323.4343925
7825,323.4343925
7826,323.4343925
7827,323.4343925
7828,323.4343925
7829,323.4343925
7830,323.4343925
7831,323.4343925
7832,323.4343925
7833,323.4343925
7834,323.4343925
7835,323.4343925
7836,323.4343925
7837,323.4343925
7838,323.4343925
7839,323.4343925
7840,323.4343925
7841,323.4343925
7842,323.4343925
7843,323.4343925
7844,323.4343925
7845,323.4343925
7846,323.4343925
7847,323.4343925
7848,323.4343925
7849,323.4343925
7850,323.4343925
7851,323.4343925
7852,323.4343925
7853,323.4343925
7854,323.4343925
7855,323.4343925
7856,323.4343925
7857,323.4343925
7858,323.4343925
7859,323.4343925
7860,323.4343925
7861,323.4343925
7862,323.4343925
7863,323.4343925
7864,323.4343925
7865,323.4343925
7866,323.4343925
7867,323.4343925
7868,323.4343925
7869,323.4343925
7870,323.4343925
7871,323.4343925
7872,323.4343925
7873,323.4343925
7874,323.4343925
7875,323.4343925
7876,323.4343925
7877,323.4343925
7878,323.4343925
7879,323.4343925
7880,323.4343925
7881,323.4343925
7882,323.4343925
7883,323.4343925
7884,323.4343925
7885,323.4343925
7886,323.4343925
7887,323.4343925
7888,323.4343925
7889,323.4343925
7890,323.4343925
7891,323.4343925
7892,323.4343925
7893,323.4343925
